Datetime,Week Number,PM2_5,AQI
2020-06-07,23,9.819650333244484,Very Good
2020-06-14,24,8.053788981267385,Very Good
2020-06-21,25,5.099711808420363,Very Good
2020-06-28,26,5.689103288309915,Very Good
2020-07-05,27,5.580616150583539,Very Good
2020-07-12,28,7.044572609521094,Very Good
2020-07-19,29,6.063664091484887,Very Good
2020-07-26,30,7.8931715750112765,Very Good
2020-08-02,31,8.383925979019057,Very Good
2020-08-09,32,6.056998675431663,Very Good
2020-08-16,33,5.309062604904175,Very Good
2020-08-23,34,5.689978455449198,Very Good
2020-08-30,35,6.996495057375003,Very Good
2020-09-06,36,11.643176342413678,Very Good
2020-09-13,37,7.624228929590296,Very Good
2020-09-20,38,11.116981473150133,Very Good
2020-09-27,39,6.01840519214022,Very Good
2020-10-04,40,7.427064510492178,Very Good
2020-10-11,41,8.91050083016696,Very Good
2020-10-18,42,8.603849890984987,Very Good
2020-10-25,43,8.577243227225084,Very Good
2020-11-01,44,9.783562547377958,Very Good
2020-11-08,45,8.131435311826548,Very Good
2020-11-15,46,18.06712878889339,Very Good
2020-11-22,47,12.002438408987862,Very Good
2020-11-29,48,13.51164858062546,Very Good
2020-12-06,49,19.812550117633094,Very Good
2020-12-13,50,21.60350964709026,Very Good
2020-12-20,51,15.296587473594101,Very Good
2020-12-27,52,16.062164397466752,Very Good
2021-01-03,53,20.305865565935772,Very Good
2021-01-10,1,25.299044915607997,Good
2021-01-17,2,26.063212667192733,Good
2021-01-24,3,33.20155074482872,Good
2021-01-31,4,34.83309208779108,Good
2021-02-07,5,30.67681097984314,Good
2021-02-14,6,22.10949887548174,Very Good
2021-02-21,7,34.10793346450443,Good
2021-02-28,8,38.36826749333365,Moderate
2021-03-07,9,47.1207171897211,Moderate
2021-03-14,10,52.562927064441496,Unhealthy for Sensitive Groups
2021-03-21,11,58.34729205994379,Unhealthy for Sensitive Groups
2021-03-28,12,42.98384428024292,Moderate
2021-04-04,13,65.85219416361369,Unhealthy for Sensitive Groups
2021-04-11,14,19.961227349275667,Very Good
2021-04-18,15,23.034941633542378,Very Good
2021-04-25,16,26.471284883464882,Good
2021-05-02,17,15.877915461858114,Very Good
2021-05-09,18,14.405932856483693,Very Good
2021-05-16,19,14.836908119065422,Very Good
2021-05-23,20,18.578086342130387,Very Good
2021-05-30,21,9.244436644926303,Very Good
2021-06-06,22,11.508190132322765,Very Good
2021-06-13,23,8.286380345236042,Very Good
2021-06-20,24,6.603911920672371,Very Good
2021-06-27,25,11.166875638905362,Very Good
2021-07-04,26,6.471226345925104,Very Good
2021-07-11,27,6.614742462451641,Very Good
2021-07-18,28,5.935914390815232,Very Good
2021-07-25,29,5.299323837441134,Very Good
2021-08-01,30,6.713321831411944,Very Good
2021-08-08,31,9.365180531902427,Very Good
2021-08-15,32,9.975854487646194,Very Good
2021-08-22,33,6.64030909538269,Very Good
2021-08-29,34,7.438575306935097,Very Good
2021-09-05,35,6.511838981474953,Very Good
2021-09-12,36,6.8053309211024535,Very Good
2021-09-19,37,7.564979232492901,Very Good
2021-09-26,38,7.4235026729240845,Very Good
2021-10-03,39,7.556690034987051,Very Good
2021-10-10,40,11.369817393982482,Very Good
2021-10-17,41,8.371856740240515,Very Good
2021-10-24,42,7.35678741193953,Very Good
2021-10-31,43,9.819950024286905,Very Good
2021-11-07,44,8.87193878539308,Very Good
2021-11-14,45,12.087280572178852,Very Good
2021-11-21,46,12.785609983262562,Very Good
2021-11-28,47,13.061990749201126,Very Good
2021-12-05,48,20.277522263072786,Very Good
2021-12-12,49,22.385091775871185,Very Good
2021-12-19,50,21.58270471335868,Very Good
2021-12-26,51,26.042540493465605,Good
2022-01-02,52,16.677001601173764,Very Good
2022-01-09,1,19.852198407763527,Very Good
2022-01-16,2,27.209368444624403,Good
2022-01-23,3,15.428493151407755,Very Good
2022-01-30,4,19.144587382217125,Very Good
